Species,Year,Quarter,Length,Sexo,PesoMgayi,BodyWeight,Preyweight,ISU
Lamarillo,96,3,44,2,636.9279823,648.25024,1.22,6.275425936
Lamarillo,96,3,44,2,636.9279823,648.25024,0.11,8.681551708
Lamarillo,96,3,44,2,636.9279823,648.25024,12.53,3.946151026
Lamarillo,96,3,44,2,636.9279823,648.25024,0.43,7.318246865
Lamarillo,96,3,44,2,636.9279823,648.25024,15.72,3.719343008
Lamarillo,96,3,44,2,636.9279823,648.25024,2.16,5.704168573
Lamarillo,96,3,44,2,636.9279823,648.25024,1.6,6.004273165
Lamarillo,96,3,44,2,636.9279823,648.25024,5.74,4.726817584
Lamarillo,96,3,44,2,636.9279823,648.25024,0.92,6.557658404
Lamarillo,96,3,44,2,636.9279823,648.25024,18.96,3.531945298
Lamarillo,96,3,44,2,636.9279823,648.25024,22.65,3.354116943
Lamarillo,96,3,44,2,636.9279823,648.25024,37.48,2.850469337
Lamarillo,96,3,44,2,636.9279823,648.25024,31.66,3.01922274
Lamarillo,96,3,44,2,636.9279823,648.25024,26.18,3.209281034
Lamarillo,96,3,44,2,636.9279823,648.25024,14.76,3.782355975
Lamarillo,96,3,44,2,636.9279823,648.25024,18.29,3.567922332
Lamarillo,96,3,44,2,636.9279823,648.25024,32.6,2.989964506
Lamarillo,96,3,44,2,636.9279823,648.25024,25.9,3.220033826
Lamarillo,96,3,44,2,636.9279823,648.25024,18.08,3.57947044
Lamarillo,96,3,44,2,636.9279823,648.25024,9.77,4.194960329
Lamarillo,96,3,44,2,636.9279823,648.25024,16.42,3.675776691
Lamarillo,96,3,44,2,636.9279823,648.25024,22.48,3.36165077
Lamarillo,96,3,44,2,636.9279823,648.25024,14.26,3.81681838
Lamarillo,96,3,45,1,599.4930668,582.28875,12.64,3.83010007
Lamarillo,96,3,45,1,599.4930668,582.28875,1.72,5.824642168
Lamarillo,96,3,45,1,599.4930668,582.28875,11.96,3.88539871
Lamarillo,96,3,45,1,599.4930668,582.28875,13.41,3.770965761
Lamarillo,96,3,45,1,599.4930668,582.28875,27.98,3.035476489
Lamarillo,96,3,45,2,677.3798654,693.46125,3.08,5.416765765
Lamarillo,96,3,45,2,677.3798654,693.46125,0.17,8.313652204
Lamarillo,96,3,45,2,677.3798654,693.46125,2.62,5.578521044
Lamarillo,96,3,45,2,677.3798654,693.46125,14.36,3.877248799
Lamarillo,96,3,45,2,677.3798654,693.46125,22.76,3.416690753
Lamarillo,96,3,45,2,677.3798654,693.46125,23.26,3.394960215
Lamarillo,96,3,45,2,677.3798654,693.46125,20.44,3.524201597
Lamarillo,96,3,45,2,677.3798654,693.46125,2.3,5.708786239
Lamarillo,96,3,45,2,677.3798654,693.46125,2.56,5.601688104
Lamarillo,96,3,45,2,677.3798654,693.46125,0.91,6.636006042
Lamarillo,96,3,45,2,677.3798654,693.46125,15.71,3.78739791
Lamarillo,96,3,45,2,677.3798654,693.46125,19.76,3.55803567
Lamarillo,96,3,45,2,677.3798654,693.46125,22.53,3.426847608
Lamarillo,96,3,45,2,677.3798654,693.46125,32.93,3.047311266
Lamarillo,96,3,45,2,677.3798654,693.46125,28.45,3.193547202
Lamarillo,96,3,45,2,677.3798654,693.46125,1.88,5.910423585
Lamarillo,96,3,45,2,677.3798654,693.46125,4.08,5.135598374
Lamarillo,96,3,45,2,677.3798654,693.46125,9.99,4.24011077
Lamarillo,96,3,45,2,677.3798654,693.46125,18.28,3.635887796
Lamarillo,96,3,45,2,677.3798654,693.46125,23.41,3.388532081
Lamarillo,96,3,45,2,677.3798654,693.46125,10.36,4.203743125
Lamarillo,96,3,46,1,638.8076871,621.97704,17.81,3.553143082
Lamarillo,96,3,46,1,638.8076871,621.97704,16.68,3.618692782
Lamarillo,96,3,46,1,638.8076871,621.97704,20.26,3.42425468
Lamarillo,96,3,46,2,719.4265389,740.72696,0.11,8.814906996
Lamarillo,96,3,46,2,719.4265389,740.72696,22.67,3.486589618
Lamarillo,96,3,46,2,719.4265389,740.72696,0.31,7.778815064
Lamarillo,96,3,46,2,719.4265389,740.72696,7.5,4.592729062
Lamarillo,96,3,46,2,719.4265389,740.72696,7.47,4.596737083
Lamarillo,96,3,46,2,719.4265389,740.72696,16.2,3.82262084
Lamarillo,96,3,46,2,719.4265389,740.72696,17.88,3.723949313
Lamarillo,96,3,46,2,719.4265389,740.72696,8.91,4.420457841
Lamarillo,96,3,46,2,719.4265389,740.72696,19.47,3.638757263
Lamarillo,96,3,46,2,719.4265389,740.72696,35.98,3.024668854
Lamarillo,96,3,46,2,719.4265389,740.72696,31.65,3.152893934
Lamarillo,96,3,46,2,719.4265389,740.72696,12.58,4.075523831
Lamarillo,96,3,47,1,679.7712761,663.42897,10.39,4.156577989
Lamarillo,96,3,47,2,763.0941539,790.09303,15,3.964100497
Lamarillo,96,3,47,2,763.0941539,790.09303,15.23,3.948883531
Lamarillo,96,3,47,2,763.0941539,790.09303,16.12,3.892089961
Lamarillo,96,3,47,2,763.0941539,790.09303,0.91,6.766461377
Lamarillo,96,3,47,2,763.0941539,790.09303,0.23,8.141826668
Lamarillo,96,3,47,2,763.0941539,790.09303,15.61,3.924238963
Lamarillo,96,3,47,2,763.0941539,790.09303,23.92,3.497435769
Lamarillo,96,3,47,2,763.0941539,790.09303,2.52,5.747891796
Lamarillo,96,3,47,2,763.0941539,790.09303,22.59,3.554643368
Lamarillo,96,3,47,2,763.0941539,790.09303,13.73,4.052567478
Lamarillo,96,3,48,2,808.4087137,841.60512,31.08,3.2987464
Lamarillo,96,3,48,2,808.4087137,841.60512,1.44,6.370667812
Lamarillo,96,3,48,2,808.4087137,841.60512,25.85,3.483000325
Lamarillo,96,3,49,2,855.3960785,895.30889,9.26,4.571464739
Lamarillo,96,3,49,2,855.3960785,895.30889,28.09,3.461755146
Lamarillo,96,3,50,2,904.0819685,951.25,13.56,4.250652627
Lamarillo,96,3,50,2,904.0819685,951.25,26.91,3.565278944
Lamarillo,96,3,50,2,904.0819685,951.25,44.82,3.055122441
Lamarillo,96,3,51,2,954.491968,1009.47411,25.07,3.695512879
Lamarillo,96,3,52,2,1006.651528,1070.02688,46.19,3.142675724
Lamarillo,96,3,57,2,1294.574655,1409.31873,9.59,4.990140807
Lamarillo,96,3,63,2,1703.033148,1902.85767,52.36,3.592969131
Lamarillo,96,3,65,2,1855.293371,2089.89625,84.32,3.210250618
Lamarillo,96,3,65,2,1855.293371,2089.89625,52.67,3.680823669
Lamarillo,96,3,67,2,2015.927713,2288.80643,67.66,3.521290588
Lamarillo,96,3,70,2,2272.995758,2610.23,53.72,3.883408247
Lamarillo,96,4,29,2,203.2359397,185.60029,2.1,4.481658038
Lamarillo,96,4,31,1,204.1903884,190.36449,0.13,7.289161431
Lamarillo,96,4,31,2,243.9838257,226.70951,1.44,5.059026393
Lamarillo,96,4,31,2,243.9838257,226.70951,2.18,4.64434463
